1,Richard B,Miraidon,15,5,0,0
2,Ben B,Lugia,12,4,1,0
3,Maxwell J,Klawf,12,4,1,0
4,Ben G,**Lost Box**,10,3,1,1
5,Yi F,Lugia,9,3,2,0
6,Bradley S,Terapagos,9,3,2,0
7,Jemma G,Gardevoir,9,3,2,0
8,Luke B,Lugia,9,3,2,0
9,Raymond R,Mad Bats,9,3,2,0
10,Aaron B,Hydrapple,9,3,2,0
11,Dominik F,Snorlax,8,2,1,2
12,Joseph K,Okidogi,7,2,2,1
13,Bobby H,Sinistcha,7,2,2,1
14,Teddy H,Tinkaton,6,2,3,0
15,Brandon B,Gardevoir,6,2,3,0
16,Marc S,Charizard,6,2,3,0
17,Charlotte C,Sinistcha,6,2,3,0
18,T-Jay H-D,United Wings,6,2,3,0
19,Cliff B,Aegislash,4,1,3,1
20,Jonathan Sn,Eevee,4,1,3,1
21,Ethan O,Raging Bolt,4,1,3,1
22,Albert R,Omastar,3,1,4,0
23,Isabella C,Meowscarada,3,1,4,0
24,Callam J,Charizard,3,1,1,0
